Ward100,medoid,cluster_size,best_cc
1,f1317118,30,-0.3956
2,f1205618,21,-0.2377
3,f0477318,32,-0.3164
4,f0460318,150,-0.3682
5,f1121518,104,-0.3393
6,f1114218,8,-0.2207
7,f0490418,140,-0.2192
8,f1106818,70,-0.2563
9,f0981618,22,-0.2284
10,f1193816,76,0.1346
11,f1546319,16,-0.1006
12,f1194116,19,0.0909
13,f1419712,11,0.168
14,f1549118,98,0.168
15,f0453310,60,0.2249
16,f1411418,15,0.0396
17,f0932718,35,-0.1177
18,f1481918,17,-0.0695
19,f0958918,11,0.145
20,f0959718,39,-0.1073
21,f1547418,29,0.4505
22,f1441914,23,0.463
23,f1457114,37,0.4965
24,f1145010,16,-0.188
25,f1448414,11,0.1223
26,f1449914,6,-0.1943
27,f1491910,13,0.2229
28,f1319319,11,0.1743
29,f1530118,9,0.2675
30,f1321319,8,0.1437
31,f1397315,6,-0.1902
32,f0524210,6,0.1094
33,f1525819,12,0.2135
34,f1529118,18,0.298
35,f0972110,9,0.2785
36,f00004,9,-0.1289
37,f1405818,13,0.0675
38,f0994718,9,0.1169
39,f1254118,9,-0.1029
40,f1214404,4,-0.0994
41,f1068918,4,0.028
42,f1352010,11,0.0609
43,f0467918,119,-0.16
44,f1355810,7,0.0728
45,f1115418,5,-0.0343
46,f0931418,13,0.0493
47,f1363618,5,-0.0488
48,f0476818,8,-0.1888
49,f1200718,9,-0.1611
50,f0475818,10,-0.1293
51,f0467618,35,-0.2274
52,f1200518,4,-0.1289
53,f1111418,79,-0.147
54,f1016118,10,-0.1002
55,f1331018,7,-0.0469
56,f0479318,10,-0.2095
57,f1107118,13,-0.1593
58,f1119018,12,-0.1612
59,f1396403,10,0.0969
60,f1127118,12,-0.1514
61,f1127018,16,-0.169
62,f1126918,4,-0.0643
63,f0932318,15,0.0411
64,f1388018,58,-0.1803
65,f1199618,22,-0.2753
66,f1478818,36,-0.1077
67,f0908318,19,-0.0693
68,f1557518,27,-0.0637
69,f1261718,21,-0.1067
70,f1481818,10,-0.1402
71,f1407318,15,0.0777
72,f0932618,14,-0.2639
73,f0931618,47,-0.1273
74,f1423713,12,-0.1332
75,f1533113,21,-0.1866
76,f1321519,18,0.0397
77,f1405018,13,0.0449
78,f1262518,62,0.1322
79,f1487610,6,0.1545
80,f1156210,55,0.4416
81,f1488710,66,0.411
82,f1348310,22,-0.2406
83,f1345210,41,-0.2965
84,f0874210,28,0.3225
85,f1486510,24,-0.2401
86,f1460614,10,0.2006
87,f1487410,9,0.3845
88,f1387610,15,0.4249
89,f1529718,10,0.4786
90,POP_URB,15,0.2779
91,f1540314,14,-0.4427
92,f0890518,21,0.1501
93,f1492110,17,-0.3214
94,f1434914,14,0.3234
95,f1538114,36,0.3568
96,f1465210,67,-0.2959
97,f0453210,60,0.2375
98,f0453110,73,-0.4213
99,f1332810,59,0.1722
100,f1332710,68,-0.1647
